URL,Content Size,No of Outgoing Link,Content Type
https://nypost.com/2018/09/11/elizabeth-smart-calls-decision-to-free-captor-incomprehensible/,279.0,194,text/html
https://nypost.com/media/,169.0,179,text/html
https://nypost.com/2018/09/11/playboy-stripping-down-to-4-issues-per-year-in-2019/,284.0,196,text/html
https://nypost.com/contact/,120.0,157,text/html
https://nypost.com/entertainment/,171.0,183,text/html
https://nypost.com/2018/09/11/aaron-hernandezs-former-mansion-goes-on-sale-for-1-6m/,270.0,190,text/html
https://nypost.com/video/,156.0,171,text/html
https://nypost.com/horoscopes/,160.0,207,text/html
https://nypost.com/terms/,163.0,153,text/html
https://nypost.com/photos/,157.0,172,text/html
https://nypost.com/columnists/,200.0,231,text/html
https://nypost.com/cover/covers-for-september-10-2018/,132.0,151,text/html
https://nypost.com/cover/september-9-2018/,132.0,151,text/html
https://nypost.com/business/,163.0,172,text/html
https://nypost.com/2018/09/11/spas-vampire-facial-clients-urged-to-get-tested-for-hiv/,284.0,200,text/html
https://nypost.com/2018/09/09/the-feds-havent-done-whats-needed-to-prevent-the-next-bank-mega-bailout/,286.0,197,text/html
https://nypost.com/2018/09/11/sonos-shares-tank-after-company-blows-its-first-earnings-report/,279.0,195,text/html
https://nypost.com/cover/covers-for-september-11-2018/,132.0,150,text/html
https://nypost.com/opinion/,166.0,173,text/html
https://nypost.com/fashion/,166.0,180,text/html
https://nypost.com/2018/09/10/north-korea-marks-the-hermit-kingdoms-70th-anniversary/slide-1/,181.0,153,text/html
https://nypost.com/2018/09/11/googles-top-ai-scientist-leaves-after-fracas-over-pentagon-deal/,279.0,195,text/html
https://nypost.com/2018/09/11/nassar-raped-impregnated-athlete-and-michigan-state-covered-it-up-lawsuit/,290.0,192,text/html
https://nypost.com/2018/09/11/anthony-kiedis-says-red-hot-chili-peppers-are-working-on-a-new-project/,296.0,203,text/html
https://nypost.com/2018/09/11/goldmans-new-ceo-reportedly-urged-whistleblower-to-drop-complaints/,280.0,194,text/html
https://nypost.com/news/,166.0,175,text/html
